"code_system","code","display"
"http://terminology.hl7.org/CodeSystem/umls","C3665472","Chemotherapy"
"http://terminology.hl7.org/CodeSystem/umls","C0279025","Hormone therapy"
"http://terminology.hl7.org/CodeSystem/umls","C1522449","Therapeutic radiology procedure"
"http://terminology.hl7.org/CodeSystem/umls","C0728940","Surgery"
"http://terminology.hl7.org/CodeSystem/umls","C0006098","Brachytherapy"
"http://terminology.hl7.org/CodeSystem/umls","C0021083","Immunotherapy"
"http://terminology.hl7.org/CodeSystem/umls","C0005961","Bone marrow transplant"
"http://terminology.hl7.org/CodeSystem/umls","C0279694","Monoclonal antibody"
"http://terminology.hl7.org/CodeSystem/umls","C93352","Target therapy"
"http://terminology.hl7.org/CodeSystem/umls","C0439673","Unknown"
