"code_system","code","display"
"http://terminology.hl7.org/CodeSystem/umls","C0238767","Bilateral"
"http://terminology.hl7.org/CodeSystem/umls","C0205091","Left"
"http://terminology.hl7.org/CodeSystem/umls","C2939193","Median (qualifier value)"
"http://terminology.hl7.org/CodeSystem/umls","C1272460","Not Applicable"
"http://terminology.hl7.org/CodeSystem/umls","C0205090","Right"
"http://terminology.hl7.org/CodeSystem/umls","C0439673","Unknown"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00","LIP"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.0","External upper lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.1","External lower lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.2","External lip, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.3","Mucosa of upper lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.4","Mucosa of lower lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.5","Mucosa of lip, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.6","Commissure of lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.8","Overlapping lesion of lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.9","Lip, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C01","BASE OF TONGUE"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C01.9","Base of tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02","OTHER AND UNSPECIFIED PARTS OF TONGUE"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.0","Dorsal surface of tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.1","Border of tongue"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.2","Ventral surface of tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.3","Anterior 2/3 of tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.4","Lingual tonsil"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.8","Overlapping lesion of tongue"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.9","Tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C03","GUM"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C03.0","Upper gum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C03.1","Lower gum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C03.9","Gum, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04","FLOOR OF MOUTH"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04.0","Anterior floor of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04.1","Lateral floor of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04.8","Overlapping lesion of floor of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04.9","Floor of mouth, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05","PALATE"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.0","Hard palate"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.1","Soft palate, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.2","Uvula"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.8","Overlapping lesion of palate"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.9","Palate, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06","OTHER AND UNSPECIFIED PARTS OF MOUTH"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.0","Cheek mucosa"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.1","Vestibule of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.2","Retromolar area"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.8","Overlapping lesion of other and unspecified parts of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.9","Mouth, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C07","PAROTID GLAND"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C07.9","Parotid gland"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08","OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08.0","Submandibular gland"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08.1","Sublingual gland"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08.8","Overlapping lesion of major salivary glands"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08.9","Major salivary gland, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09","TONSIL"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09.0","Tonsillar fossa"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09.1","Tonsillar pillar"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09.8","Overlapping lesion of tonsil"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09.9","Tonsil, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10","OROPHARYNX"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.0","Vallecula"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.1","Anterior surface of epiglottis"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.2","Lateral wall of oropharynx"
