"code_system","code","display"
"https://github.com/siric-osiris/OSIRIS","O7-1","Affymetrix Cytoscan HD"
"https://github.com/siric-osiris/OSIRIS","O7-2","Affymetrix EMET Plus Premier Pack"
"https://github.com/siric-osiris/OSIRIS","O7-3","Affymetrix Genome-Wide Human SNP Array 5.0"
"https://github.com/siric-osiris/OSIRIS","O7-4","Affymetrix Genome-Wide Human SNP Array 6.0"
"https://github.com/siric-osiris/OSIRIS","O7-5","Affymetrix HT Human Genome U133A Array Plate Set"
"https://github.com/siric-osiris/OSIRIS","O7-6","Affymetrix Human Exon 1.0 ST"
"https://github.com/siric-osiris/OSIRIS","O7-7","Affymetrix Human Gene 1.0 ST"
"https://github.com/siric-osiris/OSIRIS","O7-8","Affymetrix Human Genome U219 Array Plate"
"https://github.com/siric-osiris/OSIRIS","O7-9","Affymetrix Human MIP 330K"
"https://github.com/siric-osiris/OSIRIS","O7-10","Affymetrix Human U133 Plus 2.0"
"https://github.com/siric-osiris/OSIRIS","O7-11","Affymetrix Human U133 Plus PM"
"https://github.com/siric-osiris/OSIRIS","O7-12","Affymetrix Mapping 100K Array Set"
"https://github.com/siric-osiris/OSIRIS","O7-13","Affymetrix Mapping 10K 2.0 Array Set"
"https://github.com/siric-osiris/OSIRIS","O7-14","Affymetrix Mapping 500K Array Set"
"https://github.com/siric-osiris/OSIRIS","O7-15","Affymetrix OncoScan FFPE Express 2.0"
"https://github.com/siric-osiris/OSIRIS","O7-16","Agilent 244K Custom Gene Expression G4502A-07"
"https://github.com/siric-osiris/OSIRIS","O7-17","Agilent 244K Custom Gene Expression G4502A-07-1"
"https://github.com/siric-osiris/OSIRIS","O7-18 ","Agilent 244K Custom Gene Expression G4502A-07-2"
"https://github.com/siric-osiris/OSIRIS","O7-19","Agilent 244K Custom Gene Expression G4502A-07-3"
"https://github.com/siric-osiris/OSIRIS","O7-20","Agilent 8 x 15K Human miRNA-specific microarray"
"https://github.com/siric-osiris/OSIRIS","O7-21","Agilent Human CGH 1x1M"
"https://github.com/siric-osiris/OSIRIS","O7-22","Agilent Human CGH 2x400K"
"https://github.com/siric-osiris/OSIRIS","O7-23","Agilent Human CGH 4x180K"
"https://github.com/siric-osiris/OSIRIS","O7-24","Agilent Human CGH 8x60K"
"https://github.com/siric-osiris/OSIRIS","O7-25","Agilent Human CNV 2x400K"
"https://github.com/siric-osiris/OSIRIS","O7-26","Agilent Human CNV Association 2x105K"
"https://github.com/siric-osiris/OSIRIS","O7-27","Agilent Human CpG Island Microarray Kit"
"https://github.com/siric-osiris/OSIRIS","O7-28","Agilent Human Genome 105A"
"https://github.com/siric-osiris/OSIRIS","O7-29","Agilent Human Genome 244A"
"https://github.com/siric-osiris/OSIRIS","O7-30","Agilent Human Genome 44K"
"https://github.com/siric-osiris/OSIRIS","O7-31","Agilent Human Genome CGH Custom Microaary 2x415K"
"https://github.com/siric-osiris/OSIRIS","O7-32","Agilent Human miRNA Microarray Kit (v2)"
"https://github.com/siric-osiris/OSIRIS","O7-33","Agilent Human Promoter ChIP-on-chip Microarray Set"
"https://github.com/siric-osiris/OSIRIS","O7-34","Agilent Human SpliceArray"
"https://github.com/siric-osiris/OSIRIS","O7-35","Agilent Whole Human Genome Oligo Microarray Kit"
"https://github.com/siric-osiris/OSIRIS","O7-36","Almac Human CRC"
"https://github.com/siric-osiris/OSIRIS","O7-37","capillary sequencing"
"https://github.com/siric-osiris/OSIRIS","O7-38","Complete Genomics"
"https://github.com/siric-osiris/OSIRIS","O7-39","Custom-designed cDNA array"
"https://github.com/siric-osiris/OSIRIS","O7-40","Custom-designed gene expression array"
"https://github.com/siric-osiris/OSIRIS","O7-41","Helicos sequencing"
"https://github.com/siric-osiris/OSIRIS","O7-42","HumanOmni2.5-8 BeadChip Kit"
"https://github.com/siric-osiris/OSIRIS","O7-43","Illumina GA sequencing"
"https://github.com/siric-osiris/OSIRIS","O7-44","Illumina goldengate methylation"
"https://github.com/siric-osiris/OSIRIS","O7-45","Illumina GoldenGate Methylation Cancer Panel I"
"https://github.com/siric-osiris/OSIRIS","O7-46","Illumina HiSeq"
"https://github.com/siric-osiris/OSIRIS","O7-47","Illumina HiSeq X Ten"
"https://github.com/siric-osiris/OSIRIS","O7-48","Illumina Human Omni1-Quad beadchip"
"https://github.com/siric-osiris/OSIRIS","O7-49","Illumina Human1M OmniQuad chip"
"https://github.com/siric-osiris/OSIRIS","O7-50","Illumina human1m-duo"
"https://github.com/siric-osiris/OSIRIS","O7-51","Illumina human510s-duo"
"https://github.com/siric-osiris/OSIRIS","O7-52","Illumina human660w-quad"
"https://github.com/siric-osiris/OSIRIS","O7-53","Illumina HumanCNV370-Duo v1.0 BeadChip"
"https://github.com/siric-osiris/OSIRIS","O7-54","Illumina humancytosnp-12"
"https://github.com/siric-osiris/OSIRIS","O7-55","Illumina HumanHap550"
"https://github.com/siric-osiris/OSIRIS","O7-56","Illumina HumanHT-12 v4.0 beadchip"
"https://github.com/siric-osiris/OSIRIS","O7-57","Illumina humanht-16"
"https://github.com/siric-osiris/OSIRIS","O7-58","Illumina humanht-17"
"https://github.com/siric-osiris/OSIRIS","O7-59","Illumina humanmethylation27"
"https://github.com/siric-osiris/OSIRIS","O7-60","Illumina HumanOmniExpress BeadChip"
"https://github.com/siric-osiris/OSIRIS","O7-61","Illumina HumanRef-8 v3.0 beadchip"
