"code_system","code","display","code_dicom"
"https://dicom.nema.org/medical/dicom","MR","Magnetic Resonance Imaging"
"https://dicom.nema.org/medical/dicom","CT","Computed Tomography Scanner"
"https://terminology.arkhn.com/SeriesModalityCS","RTSTRUCT","Radiotherapy Structure Set"
"https://dicom.nema.org/medical/dicom","PT","Positron emission Tomography"
"https://dicom.nema.org/medical/dicom","DX","Digital X Ray"
"https://dicom.nema.org/medical/dicom","NM","Nuclear Medicine image"
"http://terminology.hl7.org/CodeSystem/umls","C0439673","Unknown"
"http://snomed.info/sct","13881006","Zygoma","ZYGOMA"
"http://snomed.info/sct","74670003","Wrist joint","WRIST"
"http://snomed.info/sct","38266002","Entire body","WHOLEBODY"
"http://snomed.info/sct","45292006","Vulva","VULVA"
"http://snomed.info/sct","85234005","Vertebral artery","VERTEBRALA"
"http://snomed.info/sct","29092000","Vein","VEIN"
"http://snomed.info/sct","76784001","Vagina","VAGINA"
"http://snomed.info/sct","35039007","Uterus","UTERUS"
"http://snomed.info/sct","13648007","Urethra","URETHRA"
"http://snomed.info/sct","87953007","Ureter","URETER"
"http://snomed.info/sct","431491007","Upper urinary tract","UPRURINARYTRACT"
"http://snomed.info/sct","53120007","Upper limb","UPPERLIMB"
"http://snomed.info/sct","40983000","Upper arm","UPPERARM"
"http://snomed.info/sct","284639000","Umbilical vein","UMBILICALV"
"http://snomed.info/sct","50536004","Umbilical artery","UMBILICALA"
"http://snomed.info/sct","90290004","Umbilical region","UMBILICAL"
"http://snomed.info/sct","44984001","Ulnar artery","ULNARA"
"http://snomed.info/sct","23416004","Ulna","ULNA"
"http://snomed.info/sct","122495006","Thoracic spine","TSPINE"
"http://snomed.info/sct","485005","Transverse colon","TRANSVERSECOLON"
"http://snomed.info/sct","110726009","Trachea and bronchus","TRACHEABRONCHUS"
"http://snomed.info/sct","44567001","Trachea","TRACHEA"
"http://snomed.info/sct","21974007","Tongue","TONGUE"
"http://snomed.info/sct","29707007","Toe","TOE"
"http://snomed.info/sct","53620006","Temporomandibular joint","TMJ"
"http://snomed.info/sct","1217256009","Thoraco-lumbar spine","TLSPINE"
"http://snomed.info/sct","110536004","Tibia and fibula","TIBIAFIBULA"
"http://snomed.info/sct","12611008","Tibia","TIBIA"
"http://snomed.info/sct","69748006","Thyroid","THYROID"
"http://snomed.info/sct","9875009","Thymus","THYMUS"
"http://snomed.info/sct","76505004","Thumb","THUMB"
"http://snomed.info/sct","43799004","Thorax","THORAX"
"http://snomed.info/sct","113262008","Thoracic aorta","THORACICAORTA"
"http://snomed.info/sct","68367000","Thigh","THIGH"
"http://snomed.info/sct","42695009","Thalamus","THALAMUS"
"http://snomed.info/sct","40689003","Testis","TESTIS"
"http://snomed.info/sct","48345005","Superior vena cava","SVC"
