"code_system","code","display"
"https://github.com/siric-osiris/OSIRIS","O90-1","Fusion transcript"
"https://github.com/siric-osiris/OSIRIS","O90-3","Population frequency"
"https://github.com/siric-osiris/OSIRIS","O90-4","Protein reference"
"https://github.com/siric-osiris/OSIRIS","O90-5","Transcript reference"
"https://github.com/siric-osiris/OSIRIS","O90-6","Variant id"
"http://terminology.hl7.org/CodeSystem/umls","C0439673","Unknown"
"http://terminology.hl7.org/CodeSystem/umls","C0017337","Gene"
"http://terminology.hl7.org/CodeSystem/umls","C1101610","miRNA"
"http://terminology.hl7.org/CodeSystem/umls","C1956352","piRNA"
"http://terminology.hl7.org/CodeSystem/umls","C0035696","mRNA"
"http://terminology.hl7.org/CodeSystem/umls","C0887909","ncRNA"
"http://terminology.hl7.org/CodeSystem/umls","C0079941","ORF"
