"code_system","code","display"
"http://terminology.hl7.org/CodeSystem/v3-Race","2131-1","Other Race"
"http://terminology.hl7.org/CodeSystem/v3-Race","1002-5","American Indian or Alaska Native"
"http://terminology.hl7.org/CodeSystem/v3-Race","1004-1","American Indian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1006-6","Abenaki"
"http://terminology.hl7.org/CodeSystem/v3-Race","1008-2","Algonquian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1010-8","Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1011-6","Chiricahua"
"http://terminology.hl7.org/CodeSystem/v3-Race","1012-4","Fort Sill Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1013-2","Jicarilla Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1014-0","Lipan Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1015-7","Mescalero Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1016-5","Oklahoma Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1017-3","Payson Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1018-1","San Carlos Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1019-9","White Mountain Apache"
"http://terminology.hl7.org/CodeSystem/v3-Race","1021-5","Arapaho"
"http://terminology.hl7.org/CodeSystem/v3-Race","1022-3","Northern Arapaho"
"http://terminology.hl7.org/CodeSystem/v3-Race","1023-1","Southern Arapaho"
"http://terminology.hl7.org/CodeSystem/v3-Race","1024-9","Wind River Arapaho"
"http://terminology.hl7.org/CodeSystem/v3-Race","1026-4","Arikara"
"http://terminology.hl7.org/CodeSystem/v3-Race","1028-0","Assiniboine"
"http://terminology.hl7.org/CodeSystem/v3-Race","1030-6","Assiniboine Sioux"
"http://terminology.hl7.org/CodeSystem/v3-Race","1031-4","Fort Peck Assiniboine Sioux"
"http://terminology.hl7.org/CodeSystem/v3-Race","1033-0","Bannock"
"http://terminology.hl7.org/CodeSystem/v3-Race","1035-5","Blackfeet"
"http://terminology.hl7.org/CodeSystem/v3-Race","1037-1","Brotherton"
"http://terminology.hl7.org/CodeSystem/v3-Race","1039-7","Burt Lake Band"
"http://terminology.hl7.org/CodeSystem/v3-Race","1041-3","Caddo"
"http://terminology.hl7.org/CodeSystem/v3-Race","1042-1","Oklahoma Cado"
"http://terminology.hl7.org/CodeSystem/v3-Race","1044-7","Cahuilla"
"http://terminology.hl7.org/CodeSystem/v3-Race","1045-4","Agua Caliente Cahuilla"
"http://terminology.hl7.org/CodeSystem/v3-Race","1046-2","Augustine"
"http://terminology.hl7.org/CodeSystem/v3-Race","1047-0","Cabazon"
"http://terminology.hl7.org/CodeSystem/v3-Race","1048-8","Los Coyotes"
"http://terminology.hl7.org/CodeSystem/v3-Race","1049-6","Morongo"
"http://terminology.hl7.org/CodeSystem/v3-Race","1050-4","Santa Rosa Cahuilla"
"http://terminology.hl7.org/CodeSystem/v3-Race","1051-2","Torres-Martinez"
"http://terminology.hl7.org/CodeSystem/v3-Race","1053-8","California Tribes"
"http://terminology.hl7.org/CodeSystem/v3-Race","1054-6","Cahto"
"http://terminology.hl7.org/CodeSystem/v3-Race","1055-3","Chimariko"
"http://terminology.hl7.org/CodeSystem/v3-Race","1056-1","Coast Miwok"
"http://terminology.hl7.org/CodeSystem/v3-Race","1057-9","Digger"
"http://terminology.hl7.org/CodeSystem/v3-Race","1058-7","Kawaiisu"
"http://terminology.hl7.org/CodeSystem/v3-Race","1059-5","Kern River"
"http://terminology.hl7.org/CodeSystem/v3-Race","1060-3","Mattole"
"http://terminology.hl7.org/CodeSystem/v3-Race","1061-1","Red Wood"
"http://terminology.hl7.org/CodeSystem/v3-Race","1062-9","Santa Rosa"
"http://terminology.hl7.org/CodeSystem/v3-Race","1063-7","Takelma"
"http://terminology.hl7.org/CodeSystem/v3-Race","1064-5","Wappo"
"http://terminology.hl7.org/CodeSystem/v3-Race","1065-2","Yana"
"http://terminology.hl7.org/CodeSystem/v3-Race","1066-0","Yuki"
"http://terminology.hl7.org/CodeSystem/v3-Race","1068-6","Canadian and Latin American Indian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1069-4","Canadian Indian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1070-2","Central American Indian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1071-0","French American Indian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1072-8","Mexican American Indian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1073-6","South American Indian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1074-4","Spanish American Indian"
"http://terminology.hl7.org/CodeSystem/v3-Race","1076-9","Catawba"
"http://terminology.hl7.org/CodeSystem/v3-Race","1741-8","Alatna"
"http://terminology.hl7.org/CodeSystem/v3-Race","1742-6","Alexander"
"http://terminology.hl7.org/CodeSystem/v3-Race","1743-4","Allakaket"
"http://terminology.hl7.org/CodeSystem/v3-Race","1744-2","Alanvik"
"http://terminology.hl7.org/CodeSystem/v3-Race","1745-9","Anvik"
"http://terminology.hl7.org/CodeSystem/v3-Race","1746-7","Arctic"
"http://terminology.hl7.org/CodeSystem/v3-Race","1747-5","Beaver"
"http://terminology.hl7.org/CodeSystem/v3-Race","1748-3","Birch Creek"
"http://terminology.hl7.org/CodeSystem/v3-Race","1749-1","Cantwell"
"http://terminology.hl7.org/CodeSystem/v3-Race","1750-9","Chalkyitsik"
"http://terminology.hl7.org/CodeSystem/v3-Race","1751-7","Chickaloon"
"http://terminology.hl7.org/CodeSystem/v3-Race","1752-5","Chistochina"
"http://terminology.hl7.org/CodeSystem/v3-Race","1753-3","Chitina"
"http://terminology.hl7.org/CodeSystem/v3-Race","1754-1","Circle"
"http://terminology.hl7.org/CodeSystem/v3-Race","1755-8","Cook Inlet"
"http://terminology.hl7.org/CodeSystem/v3-Race","1756-6","Copper Center"
"http://terminology.hl7.org/CodeSystem/v3-Race","1757-4","Copper River"
"http://terminology.hl7.org/CodeSystem/v3-Race","1758-2","Dot Lake"
"http://terminology.hl7.org/CodeSystem/v3-Race","1759-0","Doyon"
"http://terminology.hl7.org/CodeSystem/v3-Race","1760-8","Eagle"
"http://terminology.hl7.org/CodeSystem/v3-Race","1761-6","Eklutna"
"http://terminology.hl7.org/CodeSystem/v3-Race","1762-4","Evansville"
"http://terminology.hl7.org/CodeSystem/v3-Race","1763-2","Fort Yukon"
"http://terminology.hl7.org/CodeSystem/v3-Race","1764-0","Gakona"
"http://terminology.hl7.org/CodeSystem/v3-Race","1765-7","Galena"
"http://terminology.hl7.org/CodeSystem/v3-Race","1766-5","Grayling"
"http://terminology.hl7.org/CodeSystem/v3-Race","1767-3","Gulkana"
"http://terminology.hl7.org/CodeSystem/v3-Race","1768-1","Healy Lake"
"http://terminology.hl7.org/CodeSystem/v3-Race","1769-9","Holy Cross"
"http://terminology.hl7.org/CodeSystem/v3-Race","1770-7","Hughes"
"http://terminology.hl7.org/CodeSystem/v3-Race","1771-5","Huslia"
"http://terminology.hl7.org/CodeSystem/v3-Race","1772-3","Iliamna"
"http://terminology.hl7.org/CodeSystem/v3-Race","1773-1","Kaltag"
"http://terminology.hl7.org/CodeSystem/v3-Race","1774-9","Kluti Kaah"
"http://terminology.hl7.org/CodeSystem/v3-Race","1775-6","Knik"
"http://terminology.hl7.org/CodeSystem/v3-Race","1776-4","Koyukuk"
"http://terminology.hl7.org/CodeSystem/v3-Race","1777-2","Lake Minchumina"
"http://terminology.hl7.org/CodeSystem/v3-Race","1778-0","Lime"
"http://terminology.hl7.org/CodeSystem/v3-Race","1779-8","Mcgrath"
"http://terminology.hl7.org/CodeSystem/v3-Race","1780-6","Manley Hot Springs"
"http://terminology.hl7.org/CodeSystem/v3-Race","1781-4","Mentasta Lake"
"http://terminology.hl7.org/CodeSystem/v3-Race","1782-2","Minto"
"http://terminology.hl7.org/CodeSystem/v3-Race","1783-0","Nenana"
"http://terminology.hl7.org/CodeSystem/v3-Race","1784-8","Nikolai"
"http://terminology.hl7.org/CodeSystem/v3-Race","1785-5","Ninilchik"
"http://terminology.hl7.org/CodeSystem/v3-Race","1786-3","Nondalton"
"http://terminology.hl7.org/CodeSystem/v3-Race","1787-1","Northway"
"http://terminology.hl7.org/CodeSystem/v3-Race","1788-9","Nulato"
"http://terminology.hl7.org/CodeSystem/v3-Race","1789-7","Pedro Bay"
"http://terminology.hl7.org/CodeSystem/v3-Race","1790-5","Rampart"
"http://terminology.hl7.org/CodeSystem/v3-Race","1791-3","Ruby"
"http://terminology.hl7.org/CodeSystem/v3-Race","1792-1","Salamatof"
"http://terminology.hl7.org/CodeSystem/v3-Race","1793-9","Seldovia"
"http://terminology.hl7.org/CodeSystem/v3-Race","1794-7","Slana"
"http://terminology.hl7.org/CodeSystem/v3-Race","1795-4","Shageluk"
"http://terminology.hl7.org/CodeSystem/v3-Race","1796-2","Stevens"
"http://terminology.hl7.org/CodeSystem/v3-Race","1797-0","Stony River"
"http://terminology.hl7.org/CodeSystem/v3-Race","1798-8","Takotna"
"http://terminology.hl7.org/CodeSystem/v3-Race","1799-6","Tanacross"
"http://terminology.hl7.org/CodeSystem/v3-Race","1800-2","Tanaina"
"http://terminology.hl7.org/CodeSystem/v3-Race","1801-0","Tanana"
"http://terminology.hl7.org/CodeSystem/v3-Race","1802-8","Tanana Chiefs"
"http://terminology.hl7.org/CodeSystem/v3-Race","1803-6","Tazlina"
"http://terminology.hl7.org/CodeSystem/v3-Race","1804-4","Telida"
"http://terminology.hl7.org/CodeSystem/v3-Race","1805-1","Tetlin"
"http://terminology.hl7.org/CodeSystem/v3-Race","1806-9","Tok"
"http://terminology.hl7.org/CodeSystem/v3-Race","1807-7","Tyonek"
"http://terminology.hl7.org/CodeSystem/v3-Race","1808-5","Venetie"
"http://terminology.hl7.org/CodeSystem/v3-Race","1809-3","Wiseman"
"http://terminology.hl7.org/CodeSystem/v3-Race","1078-5","Cayuse"
"http://terminology.hl7.org/CodeSystem/v3-Race","1080-1","Chehalis"
"http://terminology.hl7.org/CodeSystem/v3-Race","1082-7","Chemakuan"
"http://terminology.hl7.org/CodeSystem/v3-Race","1083-5","Hoh"
"http://terminology.hl7.org/CodeSystem/v3-Race","1084-3","Quileute"
"http://terminology.hl7.org/CodeSystem/v3-Race","1086-8","Chemehuevi"
"http://terminology.hl7.org/CodeSystem/v3-Race","1088-4","Cherokee"
"http://terminology.hl7.org/CodeSystem/v3-Race","1089-2","Cherokee Alabama"
"http://terminology.hl7.org/CodeSystem/v3-Race","1090-0","Cherokees of Northeast Alabama"
"http://terminology.hl7.org/CodeSystem/v3-Race","1091-8","Cherokees of Southeast Alabama"
"http://terminology.hl7.org/CodeSystem/v3-Race","1092-6","Eastern Cherokee"
"http://terminology.hl7.org/CodeSystem/v3-Race","1093-4","Echota Cherokee"
"http://terminology.hl7.org/CodeSystem/v3-Race","1094-2","Etowah Cherokee"
"http://terminology.hl7.org/CodeSystem/v3-Race","1095-9","Northern Cherokee"
"http://terminology.hl7.org/CodeSystem/v3-Race","1096-7","Tuscola"
"http://terminology.hl7.org/CodeSystem/v3-Race","1097-5","United Keetowah Band of Cherokee"
"http://terminology.hl7.org/CodeSystem/v3-Race","1098-3","Western Cherokee"
"http://terminology.hl7.org/CodeSystem/v3-Race","1100-7","Cherokee Shawnee"
"http://terminology.hl7.org/CodeSystem/v3-Race","1102-3","Cheyenne"
"http://terminology.hl7.org/CodeSystem/v3-Race","1103-1","Northern Cheyenne"
"http://terminology.hl7.org/CodeSystem/v3-Race","1104-9","Southern Cheyenne"
"http://terminology.hl7.org/CodeSystem/v3-Race","1106-4","Cheyenne-Arapaho"
"http://terminology.hl7.org/CodeSystem/v3-Race","1108-0","Chickahominy"
"http://terminology.hl7.org/CodeSystem/v3-Race","1109-8","Eastern Chickahominy"
"http://terminology.hl7.org/CodeSystem/v3-Race","1110-6","Western Chickahominy"
"http://terminology.hl7.org/CodeSystem/v3-Race","1112-2","Chickasaw"
"http://terminology.hl7.org/CodeSystem/v3-Race","1114-8","Chinook"
"http://terminology.hl7.org/CodeSystem/v3-Race","1115-5","Clatsop"
"http://terminology.hl7.org/CodeSystem/v3-Race","1116-3","Columbia River Chinook"
"http://terminology.hl7.org/CodeSystem/v3-Race","1117-1","Kathlamet"
"http://terminology.hl7.org/CodeSystem/v3-Race","1118-9","Upper Chinook"
"http://terminology.hl7.org/CodeSystem/v3-Race","1119-7","Wakiakum Chinook"
"http://terminology.hl7.org/CodeSystem/v3-Race","1120-5","Willapa Chinook"
"http://terminology.hl7.org/CodeSystem/v3-Race","1121-3","Wishram"
"http://terminology.hl7.org/CodeSystem/v3-Race","1123-9","Chippewa"
"http://terminology.hl7.org/CodeSystem/v3-Race","1124-7","Bad River"
"http://terminology.hl7.org/CodeSystem/v3-Race","1125-4","Bay Mills Chippewa"
"http://terminology.hl7.org/CodeSystem/v3-Race","1126-2","Bois Forte"
"http://terminology.hl7.org/CodeSystem/v3-Race","1127-0","Burt Lake Chippewa"
"http://terminology.hl7.org/CodeSystem/v3-Race","1128-8","Fond du Lac"
"http://terminology.hl7.org/CodeSystem/v3-Race","1129-6","Grand Portage"
