"code_system","code","display"
"https://ibsi.readthedocs.io/en/latest/","HCUG","Morphological features"
"https://ibsi.readthedocs.io/en/latest/","RNU0","Volume"
"https://ibsi.readthedocs.io/en/latest/","YEKZ","Approximate volume"
"https://ibsi.readthedocs.io/en/latest/","C0JK","Surface area"
"https://ibsi.readthedocs.io/en/latest/","2PR5","Surface to volume ratio"
"https://ibsi.readthedocs.io/en/latest/","SKGS","Compactness 1"
"https://ibsi.readthedocs.io/en/latest/","BQWJ","Compactness 2"
"https://ibsi.readthedocs.io/en/latest/","KRCK","Spherical disproportion"
"https://ibsi.readthedocs.io/en/latest/","QCFX","Sphericity"
"https://ibsi.readthedocs.io/en/latest/","25C7","Asphericity"
"https://ibsi.readthedocs.io/en/latest/","KLMA","Centre of mass shift"
"https://ibsi.readthedocs.io/en/latest/","L0JK","Maximum 3D diameter"
"https://ibsi.readthedocs.io/en/latest/","TDIC","Major axis length"
"https://ibsi.readthedocs.io/en/latest/","P9VJ","Minor axis length"
"https://ibsi.readthedocs.io/en/latest/","7J51","Least axis length"
"https://ibsi.readthedocs.io/en/latest/","Q3CK","Elongation"
"https://ibsi.readthedocs.io/en/latest/","N17B","Flatness"
"https://ibsi.readthedocs.io/en/latest/","PBX1","Volume density - axis-aligned bounding box"
"https://ibsi.readthedocs.io/en/latest/","R59B","Area density - axis-aligned bounding box"
"https://ibsi.readthedocs.io/en/latest/","ZH1A","Volume density - oriented minimum bounding box"
"https://ibsi.readthedocs.io/en/latest/","IQYR","Area density - oriented minimum bounding box"
"https://ibsi.readthedocs.io/en/latest/","6BDE","Volume density - approximate enclosing ellipsoid"
"https://ibsi.readthedocs.io/en/latest/","RDD2","Area density - approximate enclosing ellipsoid"
"https://ibsi.readthedocs.io/en/latest/","SWZ1","Volume density - minimum volume enclosing ellipsoid"
"https://ibsi.readthedocs.io/en/latest/","BRI8","Area density - minimum volume enclosing ellipsoid"
"https://ibsi.readthedocs.io/en/latest/","R3ER","Volume density - convex hull"
"https://ibsi.readthedocs.io/en/latest/","7T7F","Area density - convex hull"
"https://ibsi.readthedocs.io/en/latest/","99N0","Integrated intensity"
"https://ibsi.readthedocs.io/en/latest/","N365","Moran's I index"
"https://ibsi.readthedocs.io/en/latest/","NPT7","Geary's C measure"
"https://ibsi.readthedocs.io/en/latest/","9ST6","Local intensity features"
"https://ibsi.readthedocs.io/en/latest/","VJGA","Local intensity peak"
"https://ibsi.readthedocs.io/en/latest/","0F91","Global intensity peak"
"https://ibsi.readthedocs.io/en/latest/","UHIW","Intensity-based statistical features"
"https://ibsi.readthedocs.io/en/latest/","Q4LE","Mean"
"https://ibsi.readthedocs.io/en/latest/","ECT3","Variance"
"https://ibsi.readthedocs.io/en/latest/","KE2A","Skewness"
"https://ibsi.readthedocs.io/en/latest/","IPH6","Kurtosis"
"https://ibsi.readthedocs.io/en/latest/","Y12H","Median"
"https://ibsi.readthedocs.io/en/latest/","1GSF","Minimum grey level"
"https://ibsi.readthedocs.io/en/latest/","QG58","10th percentile"
"https://ibsi.readthedocs.io/en/latest/","8DWT","90th percentile"
"https://ibsi.readthedocs.io/en/latest/","84IY","Maximum grey level"
"https://ibsi.readthedocs.io/en/latest/","SALO","Interquartile range"
"https://ibsi.readthedocs.io/en/latest/","2OJQ","Range"
"https://ibsi.readthedocs.io/en/latest/","4FUA","Mean absolute deviation"
"https://ibsi.readthedocs.io/en/latest/","1128","Robust mean absolute deviation"
"https://ibsi.readthedocs.io/en/latest/","N72L","Median absolute deviation"
"https://ibsi.readthedocs.io/en/latest/","7TET","Coefficient of variation"
"https://ibsi.readthedocs.io/en/latest/","9S40","Quartile coefficient of dispersion"
"https://ibsi.readthedocs.io/en/latest/","N8CA","Energy"
"https://ibsi.readthedocs.io/en/latest/","5ZWQ","Root mean square"
"https://ibsi.readthedocs.io/en/latest/","ZVCW","Intensity histogram features"
"https://ibsi.readthedocs.io/en/latest/","X6K6","Intensity histogram mean"
"https://ibsi.readthedocs.io/en/latest/","CH89","Intensity histogram variance"
"https://ibsi.readthedocs.io/en/latest/","88K1","Intensity histogram skewness"
"https://ibsi.readthedocs.io/en/latest/","C3I7","Intensity histogram kurtosis"
"https://ibsi.readthedocs.io/en/latest/","WIFQ","Intensity histogram median"
"https://ibsi.readthedocs.io/en/latest/","1PR8","Intensity histogram minimum grey level"
"https://ibsi.readthedocs.io/en/latest/","GPMT","Intensity histogram 10th percentile"
"https://ibsi.readthedocs.io/en/latest/","OZ0C","Intensity histogram 90th percentile"
"https://ibsi.readthedocs.io/en/latest/","3NCY","Intensity histogram maximum grey level"
"https://ibsi.readthedocs.io/en/latest/","AMMC","Intensity histogram mode"
"https://ibsi.readthedocs.io/en/latest/","WR0O","Intensity histogram interquartile range"
"https://ibsi.readthedocs.io/en/latest/","5Z3W","Intensity histogram range"
"https://ibsi.readthedocs.io/en/latest/","D2ZX","Intensity histogram mean absolute deviation"
"https://ibsi.readthedocs.io/en/latest/","WRZB","Intensity histogram robust mean absolute deviation"
"https://ibsi.readthedocs.io/en/latest/","4RNL","Intensity histogram median absolute deviation"
"https://ibsi.readthedocs.io/en/latest/","CWYJ","Intensity histogram coefficient of variation"
"https://ibsi.readthedocs.io/en/latest/","SLWD","Intensity histogram quartile coefficient of dispersion"
"https://ibsi.readthedocs.io/en/latest/","TLU2","Intensity histogram entropy"
"https://ibsi.readthedocs.io/en/latest/","BJ5W","Intensity histogram uniformity"
"https://ibsi.readthedocs.io/en/latest/","12CE","Maximum histogram gradient"
"https://ibsi.readthedocs.io/en/latest/","8E6O","Maximum histogram gradient grey level"
"https://ibsi.readthedocs.io/en/latest/","VQB3","Minimum histogram gradient"
"https://ibsi.readthedocs.io/en/latest/","RHQZ","Minimum histogram gradient grey level"
"https://ibsi.readthedocs.io/en/latest/","P88C","Intensity-volume histogram features"
"https://ibsi.readthedocs.io/en/latest/","BC2M","Volume at intensity fraction"
"https://ibsi.readthedocs.io/en/latest/","GBPN","Intensity at volume fraction"
"https://ibsi.readthedocs.io/en/latest/","DDTU","Volume fraction difference between intensity fractions"
"https://ibsi.readthedocs.io/en/latest/","CNV2","Intensity fraction difference between volume fractions"
"https://ibsi.readthedocs.io/en/latest/","9CMM","Area under IVH curve"
"https://ibsi.readthedocs.io/en/latest/","LFYI","Grey level co-occurrence based features"
"https://ibsi.readthedocs.io/en/latest/","GYBY","Joint maximum"
"https://ibsi.readthedocs.io/en/latest/","60VM","Joint average"
"https://ibsi.readthedocs.io/en/latest/","UR99","Joint variance"
"https://ibsi.readthedocs.io/en/latest/","TU9B","Joint entropy"
"https://ibsi.readthedocs.io/en/latest/","TF7R","Difference average"
"https://ibsi.readthedocs.io/en/latest/","D3YU","Difference variance"
"https://ibsi.readthedocs.io/en/latest/","NTRS","Difference entropy"
"https://ibsi.readthedocs.io/en/latest/","ZGXS","Sum average"
"https://ibsi.readthedocs.io/en/latest/","OEEB","Sum variance"
"https://ibsi.readthedocs.io/en/latest/","P6QZ","Sum entropy"
"https://ibsi.readthedocs.io/en/latest/","8ZQL","Angular second moment"
"https://ibsi.readthedocs.io/en/latest/","ACUI","Contrast"
"https://ibsi.readthedocs.io/en/latest/","8S9J","Dissimilarity"
"https://ibsi.readthedocs.io/en/latest/","IB1Z","Inverse difference"
"https://ibsi.readthedocs.io/en/latest/","NDRX","Normalised inverse difference"
"https://ibsi.readthedocs.io/en/latest/","WF0Z","Inverse difference moment"
"https://ibsi.readthedocs.io/en/latest/","1QCO","Normalised inverse difference moment"
"https://ibsi.readthedocs.io/en/latest/","E8JP","Inverse variance"
"https://ibsi.readthedocs.io/en/latest/","NI2N","Correlation"
"https://ibsi.readthedocs.io/en/latest/","QWB0","Autocorrelation"
"https://ibsi.readthedocs.io/en/latest/","DG8W","Cluster tendency"
"https://ibsi.readthedocs.io/en/latest/","7NFM","Cluster shade"
"https://ibsi.readthedocs.io/en/latest/","AE86","Cluster prominence"
"https://ibsi.readthedocs.io/en/latest/","R8DG","First measure of information correlation"
"https://ibsi.readthedocs.io/en/latest/","JN9H","Second measure of information correlation"
"https://ibsi.readthedocs.io/en/latest/","TP0I","Grey level run length based features"
"https://ibsi.readthedocs.io/en/latest/","22OV","Short runs emphasis"
"https://ibsi.readthedocs.io/en/latest/","W4KF","Long runs emphasis"
"https://ibsi.readthedocs.io/en/latest/","V3SW","Low grey level run emphasis"
"https://ibsi.readthedocs.io/en/latest/","G3QZ","High grey level run emphasis"
"https://ibsi.readthedocs.io/en/latest/","HTZT","Short run low grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","GD3A","Short run high grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","IVPO","Long run low grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","3KUM","Long run high grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","R5YN","Grey level non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","OVBL","Normalised grey level non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","W92Y","Run length non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","IC23","Normalised run length non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","9ZK5","Run percentage"
"https://ibsi.readthedocs.io/en/latest/","8CE5","Grey level variance"
"https://ibsi.readthedocs.io/en/latest/","SXLW","Run length variance"
"https://ibsi.readthedocs.io/en/latest/","HJ9O","Run entropy"
"https://ibsi.readthedocs.io/en/latest/","9SAK","Grey level size zone based features"
"https://ibsi.readthedocs.io/en/latest/","5QRC","Small zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","48P8","Large zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","XMSY","Low grey level zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","5GN9","High grey level zone emphasis"
