"code_system","code","display"
"https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/CodeSystem/RadiotherapyCS","Planned","Planified"
"https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/CodeSystem/RadiotherapyCS","Delivered","Delivered"
"http://snomed.info/sct","182992009","Treatment completed (situation)"
"http://snomed.info/sct","266721009","No response to treatment (situation)"
"http://snomed.info/sct","407563006","Treatment not tolerated (situation)"
"http://snomed.info/sct","160932005","Financial problem (finding)"
"http://snomed.info/sct","105480006","Refusal of treatment by patient (situation)"
"http://snomed.info/sct","184081006","Patient has moved away (finding)"
"http://snomed.info/sct","309846006","Treatment not available (situation)"
"http://snomed.info/sct","399307001","Lost to follow-up (finding)"
"http://snomed.info/sct","419620001","Death (event)"
"http://snomed.info/sct","373808002","Curative - procedure intent"
"http://snomed.info/sct","363676003","Palliative - procedure intent"
"http://snomed.info/sct","399707004","Supportive - procedure intent"
"http://snomed.info/sct","261004008","Diagnostic intent"
"http://snomed.info/sct","129428001","Preventive - intent"
"http://snomed.info/sct","429892002","Guidance intent"
"http://snomed.info/sct","360156006","Screening - procedure intent"
"http://snomed.info/sct","447295008","Forensic intent"
"http://snomed.info/sct","1217123003","Radiotherapy course of treatment (regime/therapy)"
"http://snomed.info/sct","1222565005","Radiotherapy treatment phase (regime/therapy)"
"http://snomed.info/sct","1255724003","Radiotherapy treatment plan (regime/therapy)"
"http://terminology.hl7.org/CodeSystem/umls","C1272460","Not applicable"
"http://snomed.info/sct","13881006","Zygoma"
"http://snomed.info/sct","74670003","Wrist joint"
"http://snomed.info/sct","38266002","Entire body"
"http://snomed.info/sct","45292006","Vulva"
"http://snomed.info/sct","85234005","Vertebral artery"
"http://snomed.info/sct","76784001","Vagina"
"http://snomed.info/sct","35039007","Uterus"
"http://snomed.info/sct","13648007","Urethra"
"http://snomed.info/sct","87953007","Ureter"
"http://snomed.info/sct","431491007","Upper urinary tract"
"http://snomed.info/sct","53120007","Upper limb"
"http://snomed.info/sct","40983000","Upper arm"
"http://snomed.info/sct","284639000","Umbilical vein"
"http://snomed.info/sct","50536004","Umbilical artery"
"http://snomed.info/sct","90290004","Umbilical region"
"http://snomed.info/sct","44984001","Ulnar artery"
"http://snomed.info/sct","23416004","Ulna"
"http://snomed.info/sct","122495006","Thoracic spine"
"http://snomed.info/sct","485005","Transverse colon"
"http://snomed.info/sct","110726009","Trachea and bronchus"
"http://snomed.info/sct","44567001","Trachea"
"http://snomed.info/sct","21974007","Tongue"
"http://snomed.info/sct","29707007","Toe"
"http://snomed.info/sct","53620006","Temporomandibular joint"
"http://snomed.info/sct","1217256009","Thoraco-lumbar spine"
"http://snomed.info/sct","110536004","Tibia and fibula"
"http://snomed.info/sct","12611008","Tibia"
"http://snomed.info/sct","69748006","Thyroid"
"http://snomed.info/sct","9875009","Thymus"
"http://snomed.info/sct","76505004","Thumb"
"http://snomed.info/sct","43799004","Thorax"
"http://snomed.info/sct","113262008","Thoracic aorta"
"http://snomed.info/sct","68367000","Thigh"
"http://snomed.info/sct","42695009","Thalamus"
"http://snomed.info/sct","40689003","Testis"
"http://snomed.info/sct","48345005","Superior vena cava"
"http://snomed.info/sct","72021004","Superior thyroid artery"
"http://snomed.info/sct","11708003","Pubic region"
"http://snomed.info/sct","77621008","Supraclavicular region of neck"
"http://snomed.info/sct","54019009","Submandibular gland"
"http://snomed.info/sct","19695001","Subcostal"
"http://snomed.info/sct","9454009","Subclavian vein"
"http://snomed.info/sct","36765005","Subclavian artery"
"http://snomed.info/sct","69695003","Stomach"
"http://snomed.info/sct","56873002","Sternum"
"http://snomed.info/sct","54735007","Sacrum"
"http://snomed.info/sct","35819009","Splenic vein"
"http://snomed.info/sct","22083002","Splenic artery"
"http://snomed.info/sct","78961009","Spleen"
"http://snomed.info/sct","421060004","Spine"
"http://snomed.info/sct","2748008","Spinal cord"
"http://snomed.info/sct","30315005","Small intestine"
"http://snomed.info/sct","42258001","Superior mesenteric artery"
"http://snomed.info/sct","89546000","Skull"
"http://snomed.info/sct","39723000","Sacroiliac joint"
"http://snomed.info/sct","60184004","Sigmoid colon"
"http://snomed.info/sct","16982005","Shoulder"
"http://snomed.info/sct","397364003","Superficial femoral vein"
