"code_system","code","display"
"http://terminology.hl7.org/CodeSystem/umls","C0005767","Blood"
"http://terminology.hl7.org/CodeSystem/umls","C0032105","Plasma"
"http://terminology.hl7.org/CodeSystem/umls","C0033684","Protein"
"http://terminology.hl7.org/CodeSystem/umls","C0035668","RNA"
"http://terminology.hl7.org/CodeSystem/umls","C0012854","DNA"
"http://terminology.hl7.org/CodeSystem/umls","C1321301","Peripheral Blood Mononuclear Cell"
"http://terminology.hl7.org/CodeSystem/umls","C0085983","Tumor Cell Line"
"http://terminology.hl7.org/CodeSystem/umls","C1548793","Frozen Specimen"
"http://terminology.hl7.org/CodeSystem/umls","C1519524","Paraffin Embedded Tissue (FFPE)"
"http://terminology.hl7.org/CodeSystem/umls","C0042036","Urine"
"http://terminology.hl7.org/CodeSystem/umls","C0036087","Saliva" 
"http://terminology.hl7.org/CodeSystem/umls","C0229671","Serum"
"http://terminology.hl7.org/CodeSystem/umls","C3827014","Circulating Tumor-Derived DNA" 
"http://terminology.hl7.org/CodeSystem/umls","C0522537","Xenograft"
"http://terminology.hl7.org/CodeSystem/umls","C4039816",
"https://github.com/siric-osiris/OSIRIS","O59-1","Normal"
"https://github.com/siric-osiris/OSIRIS","O59-2","Tumoral"
"https://github.com/siric-osiris/OSIRIS","C60-1","Room temperature"
"https://github.com/siric-osiris/OSIRIS","C60-2","Between 2 °C and 10 °C"
"https://github.com/siric-osiris/OSIRIS","C60-3","Between -18 °C and -35 °C"
"https://github.com/siric-osiris/OSIRIS","C60-4","Between -60 °C and -85 °C"
"https://github.com/siric-osiris/OSIRIS","C60-5","Liquid nitrogen, -150 °C to -196 °C"
"https://github.com/siric-osiris/OSIRIS","C60-6","Other"
"http://terminology.hl7.org/CodeSystem/umls","C0439673","Unknown"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00","LIP"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.0","External upper lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.1","External lower lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.2","External lip, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.3","Mucosa of upper lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.4","Mucosa of lower lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.5","Mucosa of lip, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.6","Commissure of lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.8","Overlapping lesion of lip"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C00.9","Lip, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C01","BASE OF TONGUE"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C01.9","Base of tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02","OTHER AND UNSPECIFIED PARTS OF TONGUE"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.0","Dorsal surface of tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.1","Border of tongue"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.2","Ventral surface of tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.3","Anterior 2/3 of tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.4","Lingual tonsil"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.8","Overlapping lesion of tongue"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C02.9","Tongue, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C03","GUM"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C03.0","Upper gum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C03.1","Lower gum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C03.9","Gum, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04","FLOOR OF MOUTH"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04.0","Anterior floor of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04.1","Lateral floor of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04.8","Overlapping lesion of floor of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C04.9","Floor of mouth, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05","PALATE"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.0","Hard palate"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.1","Soft palate, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.2","Uvula"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.8","Overlapping lesion of palate"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C05.9","Palate, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06","OTHER AND UNSPECIFIED PARTS OF MOUTH"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.0","Cheek mucosa"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.1","Vestibule of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.2","Retromolar area"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.8","Overlapping lesion of other and unspecified parts of mouth"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C06.9","Mouth, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C07","PAROTID GLAND"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C07.9","Parotid gland"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08","OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08.0","Submandibular gland"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08.1","Sublingual gland"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08.8","Overlapping lesion of major salivary glands"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C08.9","Major salivary gland, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09","TONSIL"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09.0","Tonsillar fossa"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09.1","Tonsillar pillar"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09.8","Overlapping lesion of tonsil"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C09.9","Tonsil, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10","OROPHARYNX"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.0","Vallecula"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.1","Anterior surface of epiglottis"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.2","Lateral wall of oropharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.3","Posterior wall of oropharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.4","Branchial cleft"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.8","Overlapping lesion of oropharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C10.9","Oropharynx, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C11","NASOPHARYNX"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C11.0","Superior wall of nasopharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C11.1","Posterior wall of nasopharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C11.2","Lateral wall of nasopharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C11.3","Anterior wall of nasopharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C11.8","Overlapping lesion of nasopharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C11.9","Nasopharynx, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C12","PYRIFORM SINUS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C12.9","Pyriform sinus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C13","HYPOPHARYNX"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C13.0","Postcricoid region"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C13.1","Hypopharyngeal aspect of aryepiglottic fold"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C13.2","Posterior wall of hypopharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C13.8","Overlapping lesion of hypopharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C13.9","Hypopharynx, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C14","OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C14.0","Pharynx, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C14.2","Waldeyer ring"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C14.8","Overlapping lesion of lip, oral cavity and pharynx"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15","ESOPHAGUS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15.0","Cervical esophagus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15.1","Thoracic esophagus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15.2","Abdominal esophagus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15.3","Upper third of esophagus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15.4","Middle third of esophagus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15.5","Lower third of esophagus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15.8","Overlapping lesion of esophagus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C15.9","Esophagus, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16","STOMACH"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.0","Cardia, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.1","Fundus of stomach"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.2","Body of stomach"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.3","Gastric antrum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.4","Pylorus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.5","Lesser curvature of stomach, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.6","Greater curvature of stomach, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.8","Overlapping lesion of stomach"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C16.9","Stomach, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C17","SMALL INTESTINE"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C17.0","Duodenum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C17.1","Jejunum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C17.2","Ileum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C17.3","Meckel diverticulum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C17.8","Overlapping lesion of smallintestine"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C17.9","Small intestine, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18","COLON"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.0","Cecum"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.1","Appendix"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.2","Ascending colon"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.3","Hepatic flexure of colon"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.4","Transverse colon"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.5","Splenic flexure of colon"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.6","Descending colon"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.7","Sigmoid colon"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.8","Overlapping lesion of colon"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C18.9","Colon, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C19","RECTOSIGMOID JUNCTION"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C19.9","Rectosigmoid junction"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C20","RECTUM"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C20.9","Rectum, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C21","ANUS AND ANAL CANAL"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C21.0","Anus, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C21.1","Anal canal"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C21.2","Cloacogenic zone"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C21.8","Overlapping lesion of rectum, anus and anal canal"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C22","LIVER AND INTRAHEPATIC BILE DUCTS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C22.0","Liver"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C22.1","Intrahepatic bile duct"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C23","GALLBLADDER"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C23.9","Gallbladder"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C24","OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C24.0","Extrahepatic bile duct"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C24.1","Ampulla of Vater"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C24.8","Overlapping lesion of biliary tract Note:"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C24.9","Biliary tract, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25","PANCREAS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25.0","Head of pancreas"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25.1","Body of pancreas"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25.2","Tail of pancreas"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25.3","Pancreatic duct"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25.4","Islets of Langerhans"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25.7","Other specified parts of pancreas"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25.8","Overlapping lesion of pancreas"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C25.9","Pancreas, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C26","OTHER AND ILL-DEFINED DIGESTIVE ORGANS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C26.0","Intestinal tract, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C26.8","Overlapping lesion of digestive system"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C26.9","Gastrointestinal tract, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C30","NASAL CAVITY AND MIDDLE EAR"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C30.0","Nasal cavity"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C30.1","Middle ear"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C31","ACCESSORY SINUSES"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C31.0","Maxillary sinus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C31.1","Ethmoid sinus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C31.2","Frontal sinus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C31.3","Sphenoid sinus"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C31.8","Overlapping lesion of accessory sinuses"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C31.9","Accessory sinus, NOS"
"http://terminology.hl7.org/CodeSystem/icd-o-3","C32","LARYNX"
