"code_system","code","display"
"https://github.com/siric-osiris/OSIRIS","O81-1","Pathogenic"
"https://github.com/siric-osiris/OSIRIS","O81-2","Likely pathogenic"
"https://github.com/siric-osiris/OSIRIS","O81-3","Uncertain significance"
"https://github.com/siric-osiris/OSIRIS","O81-4","Likely benign"
"https://github.com/siric-osiris/OSIRIS","O81-5","Benign"
"http://loinc.org","LA21254-0","chr1"
"http://loinc.org","LA21255-7","chr2"
"http://loinc.org","LA21256-5","chr3"
"http://loinc.org","LA21257-3","chr4"
"http://loinc.org","LA21258-1","chr5"
"http://loinc.org","LA21259-9","chr6"
"http://loinc.org","LA21260-7","chr7"
"http://loinc.org","LA21261-5","chr8"
"http://loinc.org","LA21262-3","chr9"
"http://loinc.org","LA21263-1","chr10"
"http://loinc.org","LA21264-9","chr11"
"http://loinc.org","LA21265-6","chr12"
"http://loinc.org","LA21266-4","chr13"
"http://loinc.org","LA21267-2","chr14"
"http://loinc.org","LA21268-0","chr15"
"http://loinc.org","LA21269-8","chr16"
"http://loinc.org","LA21270-6","chr17"
"http://loinc.org","LA21271-4","chr18"
"http://loinc.org","LA21272-2","chr19"
"http://loinc.org","LA21273-0","chr20"
"http://loinc.org","LA21274-8","chr21"
"http://loinc.org","LA21275-5","chr22"
"http://loinc.org","LA21276-3","chrX"
"http://loinc.org","LA21277-1","chrY"
"https://github.com/siric-osiris/OSIRIS","O19-1","MT"
"https://github.com/siric-osiris/OSIRIS","O19-2","viral"
"https://github.com/siric-osiris/OSIRIS","O19-3","bacterial"
"http://terminology.hl7.org/CodeSystem/umls","C0439673","Unknown"
"https://github.com/siric-osiris/OSIRIS","O22-1","GRCh37"
"https://github.com/siric-osiris/OSIRIS","O22-2","GRCh38"
"http://loinc.org","LA6692-3","Deletion"
"http://loinc.org","LA6686-5","Duplication"
"http://loinc.org","LA6687-3","Insertion"
"http://loinc.org","LA6688-1","Insertion/Deletion (indel)"
"http://loinc.org","LA6689-9","Inversion"
"http://loinc.org","LA6690-7","Substitution"
"https://github.com/siric-osiris/OSIRIS","O55-1","Virus insertion site"
"https://github.com/siric-osiris/OSIRIS","O55-2","Delins"
"http://loinc.org","LA6683-2","Germinale"
"http://loinc.org","LA6684-0","Somatique"
"http://loinc.org","LA10429-1","Prénatale"
"http://loinc.org","LA18197-6","Non connu"
"http://loinc.org","LA6703-8","Hétéroplasmique"
"http://loinc.org","LA6704-6","Homoplasmique"
"http://loinc.org","LA6705-3","Homozygote" 
"http://loinc.org","LA6706-1","Hétérozygote" 
"http://loinc.org","LA6707-9","Hémizygote"
"https://github.com/siric-osiris/OSIRIS","O63-1","SIFT"
"https://github.com/siric-osiris/OSIRIS","O63-2","POLYPHEN2_HDIV"
"https://github.com/siric-osiris/OSIRIS","O63-3","MutationTaster"
"http://loinc.org","LA6694-9","Frameshift"
"http://loinc.org","LA6695-6","Initiating Methionine"
"http://loinc.org","LA9659-9","Insertion and Deletion"
"http://loinc.org","LA6698-0","Missense"
"http://loinc.org","LA6699-8","Nonsense"
"http://loinc.org","LA6700-4","Silent"
"http://loinc.org","LA6701-2","Stop Codon Mutation"
"https://github.com/siric-osiris/OSIRIS","O75-1","In frame"
"https://github.com/siric-osiris/OSIRIS","O15-1","Gene expression"
"https://github.com/siric-osiris/OSIRIS","O15-2","Protein expression"
"https://github.com/siric-osiris/OSIRIS","O15-3","Fusion"
"https://github.com/siric-osiris/OSIRIS","O15-4","Copy number variation"
"https://github.com/siric-osiris/OSIRIS","O15-5","Genetic variant"
"https://github.com/siric-osiris/OSIRIS","O15-6","Structural alteration"
"https://github.com/siric-osiris/OSIRIS","O15-7","Transcription factor"
"https://github.com/siric-osiris/OSIRIS","O15-8","Histone marks"
"https://github.com/siric-osiris/OSIRIS","O15-9","Transcript isoform"
"https://github.com/siric-osiris/OSIRIS","O15-10","Viral insertion site"
